id,neighborhood,price,bedrooms,bathrooms,house_size,description,neighborhood_description
0,Green Oaks,800000,3,2,2000,"Welcome to this eco-friendly oasis nestled in the heart of Green Oaks. This charming 3-bedroom, 2-bathroom home boasts energy-efficient features such as solar panels and a well-insulated structure. Natural light floods the living spaces, highlighting the beautiful hardwood floors and eco-conscious finishes. The open-concept kitchen and dining area lead to a spacious backyard with a vegetable garden, perfect for the eco-conscious family. Embrace sustainable living without compromising on style in this Green Oaks gem.","Green Oaks is a close-knit, environmentally-conscious community with access to organic grocery stores, community gardens, and bike paths. Take a stroll through the nearby Green Oaks Park or grab a cup of coffee at the cozy Green Bean Cafe. With easy access to public transportation and bike lanes, commuting is a breeze."
1,Downtown Loft District,600000,2,1,1500,"Experience urban living at its finest in this stylish loft located in the heart of the Downtown Loft District. This 2-bedroom, 1-bathroom unit features high ceilings, exposed brick walls, and modern finishes. The open floor plan is perfect for entertaining, and the large windows offer stunning city views. Enjoy easy access to trendy restaurants, art galleries, and nightlife in this vibrant neighborhood.","The Downtown Loft District is a bustling neighborhood with a mix of historic buildings and modern amenities. Explore the local art scene, dine at top-rated restaurants, or catch a show at the nearby theater. With convenient access to public transportation and major highways, commuting to work or exploring the city is a breeze."
2,Suburban Meadows,700000,4,3,2500,"Escape the hustle and bustle of the city in this spacious 4-bedroom, 3-bathroom home located in the peaceful Suburban Meadows neighborhood. This well-maintained property features a large backyard, perfect for outdoor gatherings and gardening. The open kitchen and living area provide ample space for family gatherings, while the cozy fireplace is perfect for chilly evenings. Enjoy the tranquility of suburban living without sacrificing convenience.","Suburban Meadows is a family-friendly neighborhood with tree-lined streets and parks. Residents enjoy easy access to top-rated schools, shopping centers, and recreational facilities. With a strong sense of community and a variety of amenities, Suburban Meadows is the perfect place to call home."
3,Waterfront Estates,1200000,5,4,4000,"Live the life of luxury in this stunning 5-bedroom, 4-bathroom estate located in the prestigious Waterfront Estates community. This custom-built home features high-end finishes, a gourmet kitchen, and panoramic views of the water. The expansive outdoor space includes a pool, spa, and private dock, perfect for entertaining guests or relaxing in style. Experience waterfront living at its finest in this exclusive neighborhood.","Waterfront Estates is an upscale waterfront community with exclusive amenities and breathtaking views. Residents enjoy access to private beaches, marinas, and upscale dining options. With a focus on luxury living and privacy, Waterfront Estates offers a serene escape from the hustle and bustle of the city."
4,Mountain View Heights,900000,4,3,3000,"Escape to the mountains in this spacious 4-bedroom, 3-bathroom home located in the scenic Mountain View Heights neighborhood. This custom-built property features vaulted ceilings, a stone fireplace, and expansive windows that showcase the stunning mountain views. The gourmet kitchen is perfect for cooking and entertaining, while the outdoor deck offers a peaceful retreat for relaxation. Embrace mountain living in this tranquil retreat.","Mountain View Heights is a picturesque neighborhood nestled in the mountains, offering residents stunning views and access to outdoor activities. Hike through nearby trails, ski at the local resort, or simply enjoy the fresh mountain air from your own backyard. With a strong sense of community and a focus on outdoor living, Mountain View Heights is the perfect place for nature lovers."
5,Historic Old Town,750000,3,2,1800,"Step back in time in this charming 3-bedroom, 2-bathroom home located in the historic Old Town neighborhood. This well-preserved property features original hardwood floors, vintage fixtures, and a cozy front porch. The updated kitchen and bathrooms offer modern convenience while maintaining the home's historic charm. Enjoy the character and nostalgia of Old Town living in this unique property.","Historic Old Town is a vibrant neighborhood with a rich history and a strong sense of community. Explore the local shops, dine at historic restaurants, or attend cultural events in the nearby square. With easy access to public transportation and historic landmarks, living in Old Town offers a unique blend of past and present."
6,Lakefront Retreat,950000,4,3,2800,"Relax and unwind in this beautiful 4-bedroom, 3-bathroom home located in the serene Lakefront Retreat community. This waterfront property features a private dock, outdoor patio, and panoramic views of the lake. The open floor plan is perfect for entertaining, while the master suite offers a peaceful retreat with a spa-like bathroom. Experience lakefront living at its finest in this tranquil oasis.","Lakefront Retreat is a peaceful waterfront community with access to boating, fishing, and water sports. Residents enjoy the natural beauty of the lake, as well as the convenience of nearby shopping and dining options. With a focus on outdoor living and relaxation, Lakefront Retreat offers a serene escape from the city."
7,Golf Course Estates,850000,4,3,2600,"Live in luxury in this spacious 4-bedroom, 3-bathroom home located in the prestigious Golf Course Estates community. This custom-built property features high-end finishes, a gourmet kitchen, and panoramic views of the golf course. The outdoor space includes a patio, pool, and lush landscaping, perfect for outdoor entertaining. Experience resort-style living in this exclusive neighborhood.","Golf Course Estates is an upscale community with access to a private golf course, clubhouse, and exclusive amenities. Residents enjoy the convenience of on-site dining, fitness facilities, and social events. With a focus on luxury living and recreation, Golf Course Estates offers a prestigious lifestyle for discerning homeowners."
8,Beachfront Bungalows,1100000,3,2,2200,"Escape to paradise in this charming 3-bedroom, 2-bathroom bungalow located in the exclusive Beachfront Bungalows community. This beachfront property features a private beach access, outdoor shower, and panoramic ocean views. The open living area is perfect for relaxing or entertaining, while the outdoor deck offers a peaceful retreat for enjoying the sunset. Experience beachfront living at its finest in this tropical oasis.","Beachfront Bungalows is a luxury beachfront community with access to pristine beaches, water sports, and upscale dining options. Residents enjoy the laid-back lifestyle of beach living, as well as the convenience of nearby shopping and entertainment. With a focus on relaxation and recreation, Beachfront Bungalows offers a tranquil escape from the everyday."
9,Urban Condo Tower,500000,1,1,1000,"Experience city living in this modern 1-bedroom, 1-bathroom condo located in the sleek Urban Condo Tower. This high-rise unit features floor-to-ceiling windows, a gourmet kitchen, and a private balcony with city views. The building offers luxury amenities such as a rooftop pool, fitness center, and concierge service. Enjoy the convenience of urban living in this stylish condo.","Urban Condo Tower is a contemporary high-rise building in the heart of the city, offering residents easy access to shopping, dining, and entertainment. Explore the vibrant neighborhood, attend cultural events, or simply relax in the building's luxury amenities. With a focus on modern living and convenience, Urban Condo Tower is the perfect place for urban professionals."
